tx,block,log_index,timestamp,timestamp_utc,main_account_transaction,direction,a0in,a1in,a0out,a1out,net_MOO_to_pool,net_mCELO_to_pool,pre0,pre1,post0,post1,pre_mCELO_per_MOO,post_mCELO_per_MOO
0xb2c78c25bb0810bd7221fd8d0b5ac8ffda4e406102dc6c05bb33ee99c31042d1,15688831,84,1666112149,2022-10-18T16:55:49+00:00,False,sell_MOO,5328871823755851182,244824202770219000,0,20843574212051607203,5.328871823755851182,-20.598750009281388203,404929677729101688768752,1588645754055540736295756,404935006600925444619934,1588625155305531454907553,3.92326332553561595378752240958034691572155691792406774127031,3.92316082682168577624583926949034738137134339144529067979914
0x58b5abd02feffe6cb8cbd8efcbcce2beeda50c666e74deeab71bd2aaaa7ec222,15688832,128,1666112154,2022-10-18T16:55:54+00:00,False,sell_MOO,3152872928265951876,244806962654588255,0,12332024150851804775,3.152872928265951876,-12.08721718819721652,404935006600925444619934,1588625155305531454907553,404938159473853710571810,1588613068088343257691033,3.92316082682168577624583926949034738137134339144529067979914,3.92310043131639653986249850591127789378256339760022119400489
0xba82c6c48262ac71faaa386a9ff6f21096910c48a0b3731b13d150fb3ff85830,15688836,64,1666112174,2022-10-18T16:56:14+00:00,False,sell_MOO,23325450585013636917729,979224531698324977,0,86278607067792821059575,23325.450585013636917729,-86277.627843261122734598,404938159473853710571810,1588613068088343257691033,428263610058867347489539,1502335440245082134956435,3.92310043131639653986249850591127789378256339760022119400489,3.50796893539139902326569686417995463833371404744652234093610
0xa90ab5e8de03c04b3839ca1b73ffab3ff5aeea30248c404d92f74754b246528a,15688837,220,1666112179,2022-10-18T16:56:19+00:00,False,sell_MOO,19631780421001875,0,0,68661069697700377,0.019631780421001875,-0.068661069697700377,428263610058867347489539,1502335440245082134956435,428263629690647768491414,1502335371584012437256058,3.50796893539139902326569686417995463833371404744652234093610,3.50796861426035723869332927547221085008555960699180603477352
0x310743f75629a0bef69a4d00af7cec9d0567e50db2a1f7fabdd603332c75fff0,15688840,161,1666112194,2022-10-18T16:56:34+00:00,False,sell_MOO,66492934746916564150,694516746643885277,0,232519369731596149789,66.49293474691656415,-231.824852984952264512,428263629690647768491414,1502335371584012437256058,428330122625394685055564,1502103546731027484991546,3.50796861426035723869332927547221085008555960699180603477352,3.50688281628216100705612903187076675545541041994852812352629
0x1bd9d4f6e5108ae3fd454456dc8be48b8428454816eb063029035d3b47f3299b,15688841,176,1666112199,2022-10-18T16:56:39+00:00,False,sell_MOO,8880925599924667666,231478337968361524,0,31050290422730736764,8.880925599924667666,-30.81881208476237524,428330122625394685055564,1502103546731027484991546,428339003550994609723230,1502072727918942722616306,3.50688281628216100705612903187076675545541041994852812352629,3.50673815708243804347910207028187785394960916456004701574758
0x568dcfcff412f06f3a3e617ac1ec6ffc8b981509479cd27edfaa61d4c6ad0447,15688842,66,1666112204,2022-10-18T16:56:44+00:00,False,sell_MOO,10000000000000000000,231473553032909823,0,34961365666886599290,10,-34.729892113853689467,428339003550994609723230,1502072727918942722616306,428349003550994609723230,1502037998026828868926839,3.50673815708243804347910207028187785394960916456004701574758,3.50657521221013517430776686800975018677283312294935868922415
0x938fd33e78f5a63c1226c6cbd6af52d0bb82d1c6e36089482e1ed4d73e49e11b,15688847,131,1666112229,2022-10-18T16:57:09+00:00,False,complex,273899945386476554,1157355027500714114,0,957568796377599992,0.273899945386476554,0.199786231123114122,428349003550994609723230,1502037998026828868926839,428349277450939996199784,1502038197813059992040961,3.50657521221013517430776686800975018677283312294935868922415,3.50657343640574367061180175023011351483833930148382236278125
0x6dd08d61fee61819d7227bada1bf6f8ae2fda0229e67dace0a9aba59024338fb,15688847,183,1666112229,2022-10-18T16:57:09+00:00,False,sell_MOO,553879851020554739,0,0,1936391215079592201,0.553879851020554739,-1.936391215079592201,428349277450939996199784,1502038197813059992040961,428349831330791016754523,1502036261421844912448760,3.50657343640574367061180175023011351483833930148382236278125,3.50656438163017488230109570769317214979937025269699893488954
0x073ca419cc5842ea4579f73d4531093765401da1fb3cac0e6698fb93216531ae,15688848,154,1666112234,2022-10-18T16:57:14+00:00,False,complex,41840754129000565,231470967075802973,0,146277131989581680,0.041840754129000565,0.085193835086221293,428349831330791016754523,1502036261421844912448760,428349873171545145755088,1502036346615679998670053,3.50656438163017488230109570769317214979937025269699893488954,3.50656423800117696162492386359026722673268278917114644503117
0xc1097f231c4595e713254bc831f599e9a5ae091e60c5ebb22a878c1cfc3ae8f8,15688849,170,1666112239,2022-10-18T16:57:19+00:00,False,complex,2154870162482228,231470991790284835,0,7533522039563403,0.002154870162482228,0.223937469750721432,428349873171545145755088,1502036346615679998670053,428349875326415308237316,1502036570553149749391485,3.50656423800117696162492386359026722673268278917114644503117,3.50656474315196972545265711277222303788589014498750260405892
0x9aaf398213c4b608b0902ad6872b01d4048e767c3a32d30d940c44eb12d18d29,15688849,204,1666112239,2022-10-18T16:57:19+00:00,False,sell_MOO,724418944035622075,0,0,2532596992400283257,0.724418944035622075,-2.532596992400283257,428349875326415308237316,1502036570553149749391485,428350599745359343859391,1502034037956157349108228,3.50656474315196972545265711277222303788589014498750260405892,3.50655290047234270356166409636001751171555286319155796394493
0xcd72a25903a4dc0197a850f0270408edbf9883d29e136937f0999be5ee5ad346,15688854,24,1666112264,2022-10-18T16:57:44+00:00,False,sell_MOO,1291075961676357637,694412297522396514,0,4513630916114260848,1.291075961676357637,-3.819218618591864334,428350599745359343859391,1502034037956157349108228,428351890821321020217028,1502030218737538757243894,3.50655290047234270356166409636001751171555286319155796394493,3.50653341545323671862108959498623582999860247966765927684337
0xd0cf6fe4cfc0cd82781251c0bb92409bb00219c4eb2c4d12ac0a981c806c9255,15688854,107,1666112264,2022-10-18T16:57:44+00:00,False,sell_MOO,665709946585464528,1,0,2327327564089533641,0.665709946585464528,-2.32732756408953364,428351890821321020217028,1502030218737538757243894,428352556531267605681556,1502027891409974667710254,3.50653341545323671862108959498623582999860247966765927684337,3.50652253268467210337468503431408095555516787839390587441337
0x960df117d233d7b6cb0891a9af4a3f4fddf7dba808a9f0f0c0eb332095cb38ea,15688854,265,1666112264,2022-10-18T16:57:44+00:00,False,sell_MOO,5480882914346993927,0,0,19160938486141520820,5.480882914346993927,-19.16093848614152082,428352556531267605681556,1502027891409974667710254,428358037414181952675483,1502008730471488526189434,3.50652253268467210337468503431408095555516787839390587441337,3.50643293525781865075342384567464885746558825451075650001411
0x757f0f6fb1167979cc7a407d556c70ec47152374278e5abe9505d612066e68cc,15688855,90,1666112269,2022-10-18T16:57:49+00:00,False,sell_MOO,1148540914350430400,231467478943238231,0,4015189111016758255,1.1485409143504304,-3.783721632073520024,428358037414181952675483,1502008730471488526189434,428359185955096303105883,1502004946749856452669410,3.50643293525781865075342384567464885746558825451075650001411,3.50641470055297806912938935299307478002397721466762846227152
0x348a19d55676c0ff68479e8ab37ed936ebeb75ef3c6ae7220820cf2655ba19e4,15688855,201,1666112269,2022-10-18T16:57:49+00:00,False,sell_MOO,1373824260867745243,0,0,4802730634526589714,1.373824260867745243,-4.802730634526589714,428359185955096303105883,1502004946749856452669410,428360559779357170851126,1502000144019221926079696,3.50641470055297806912938935299307478002397721466762846227152,3.50639224300407635726730188415212889937432215382263672393708
0x108970e62c9c41d691b4fd9289b9adf8ede4404ce7f596b86634b94bfacde860,15688855,245,1666112269,2022-10-18T16:57:49+00:00,False,sell_MOO,657371399954033826,0,0,2298083455530222933,0.657371399954033826,-2.298083455530222933,428360559779357170851126,1502000144019221926079696,428361217150757124884952,1501997845935766395856763,3.50639224300407635726730188415212889937432215382263672393708,3.50638149720065437807596614502228664008112283953097506329227
0x69cbc21f5f21e060e95d72cebc4c7c7db68f893536925ccfead4c4f5f699ed34,15688856,170,1666112274,2022-10-18T16:57:54+00:00,False,sell_MOO,230587102695810422,231468497762293186,0,806100338712011937,0.230587102695810422,-0.574631840949718751,428361217150757124884952,1501997845935766395856763,428361447737859820695374,1501997271303925446138012,3.50638149720065437807596614502228664008112283953097506329227,3.50637826824949960036268209702025756317143666187895880553372
0x71ec4c774fc624487442782c7821f092fb1442d66bdef651d6e9f8eeb94c6763,15688857,132,1666112279,2022-10-18T16:57:59+00:00,False,sell_MOO,325607186136616923,231468791176757365,0,1138275992937400874,0.325607186136616923,-0.906807201760643509,428361447737859820695374,1501997271303925446138012,428361773345045957312297,1501996364496723685494503,3.50637826824949960036268209702025756317143666187895880553372,3.50637348605535744036636088075274778718224199575257174378236
0xe0654b30f22e5e451102409ff6a8be39194c1b6975592ca6e97c24225d8858b8,15688858,68,1666112284,2022-10-18T16:58:04+00:00,False,sell_MOO,409638144445283507,231468741576780530,0,1432033930242555221,0.409638144445283507,-1.200565188665774691,428361773345045957312297,1501996364496723685494503,428362182983190402595804,1501995163931535019719812,3.50637348605535744036636088075274778718224199575257174378236,3.50636733026098067786885995826090395290492843527520999784236
0x4689f977fc61c9e176954b0d76c62e963fdde084f3409bc281c677e9649c40ad,15688858,119,1666112284,2022-10-18T16:58:04+00:00,False,sell_MOO,70989433119553717,0,0,248168242993112402,0.070989433119553717,-0.248168242993112402,428362182983190402595804,1501995163931535019719812,428362253972623522149521,1501994915763292026607410,3.50636733026098067786885995826090395290492843527520999784236,3.50636616983363800861765350250302309044339090442189377833024
0x02a457c94cd439578ad0e5f133aab576eb3c23620c3d5a0388f9a8ed04c709aa,15688859,94,1666112289,2022-10-18T16:58:09+00:00,False,sell_MOO,584975727831868640,231468651379324991,0,2044982900665828921,0.58497572783186864,-1.81351424928650393,428362253972623522149521,1501994915763292026607410,428362838948351354018161,1501993102249042740103480,3.50636616983363800861765350250302309044339090442189377833024,3.50635714791810252971591861726750135108215553352042490322260
0x9a0c0c02ec45e5b12b6030e88c95236736417f851dbc3f4cb99340e3c37ef7ad,15688859,149,1666112289,2022-10-18T16:58:09+00:00,False,sell_MOO,406918784665471082,0,0,1422520834211404159,0.406918784665471082,-1.422520834211404159,428362838948351354018161,1501993102249042740103480,428363245867136019489243,1501991679728208528699321,3.50635714791810252971591861726750135108215553352042490322260,3.50635049626567684730600585594613905186390415257416101418370
0x81e52d36fa0622b916ad658fb44719c55a399ae844c7d2846655d6dd883bbe34,15688860,95,1666112294,2022-10-18T16:58:14+00:00,False,sell_MOO,163872200806216014,231468427288935262,0,572869374006980809,0.163872200806216014,-0.341400946718045547,428363245867136019489243,1501991679728208528699321,428363409739336825705257,1501991338327261810653774,3.50635049626567684730600585594613905186390415257416101418370,3.50634835790768801613833355034494411005893984318102344089036
0x07f72474b0cdf82dbd09460af2235574653d0f44e7fd222b8fb7cf5cf9fcafa7,15688860,157,1666112294,2022-10-18T16:58:14+00:00,False,sell_MOO,365253602490908973,0,0,1276863164726344269,0.365253602490908973,-1.276863164726344269,428363409739336825705257,1501991338327261810653774,428363774992939316614230,1501990061464097084309505,3.50634835790768801613833355034494411005893984318102344089036,3.50634238735255859986924974755766204783981827374699711665325
0x279b3f2e0d8c81cb8a843e957ce55d4f1040b9959378e89e7c0cb9185bc2367a,15688861,53,1666112299,2022-10-18T16:58:19+00:00,False,sell_MOO,388408654739155229,231468324390611150,0,1357806821071773659,0.388408654739155229,-1.126338496681162509,428363774992939316614230,1501990061464097084309505,428364163401594055769459,1501988935125600403146996,3.50634238735255859986924974755766204783981827374699711665325,3.50633657866817508640851179260248955251805259462150849727289
