tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0x4a7bd62c2eba932d5c0bbd34604b0757d706b1a0d2ac342d34b569b1d9b46eed,15688663,38,1666111309,2022-10-18T16:41:49+00:00,370564975354155185219745,1737424033429199155877150,4.68858135275389628627139219486093416571483242151724373915413
0x62ce47ed82ca63b68825a4915c50e421e9a0366e3765677c05330d382a129d85,15688669,130,1666111339,2022-10-18T16:42:19+00:00,370568583340576917734887,1737408239006594303697574,4.68849308094151570687569191064244508162420224280675544710390
0x7091a04c548977a0def80ad5a3d0f6b0b21fdcc1f44946f58da4d945ad030531,15688670,119,1666111344,2022-10-18T16:42:24+00:00,370571046492725811780003,1737396993004535705292548,4.68843156919071452330374425305807435709610365425975981204091
0x4f9917ccf604e35e39aa0c6db422129e8df7461732652c34f1d3877ffab861f5,15688671,36,1666111349,2022-10-18T16:42:29+00:00,371158489977820013753577,1734655667776366622695010,4.67362518874356764707787885409275284040881145292897949200802
0x5dc7e7943a1bad5657a9a29d9a23721be8ae50ba324876cac14ce5e7c6d9dddb,15688672,89,1666111354,2022-10-18T16:42:34+00:00,371158548514433373856451,1734655662342710143055290,4.67362443701132744970647007202222467821891044839010394491702
0xc9a9c90468536765ccbf6bb10c30cfd428389e0e79fc6b11345f73be9d15f349,15688674,41,1666111364,2022-10-18T16:42:44+00:00,371158561077333373856451,1734656138452007887043159,4.67362556158466368831531935502683680838563933098903897947396
0x26939672ec5c99c5f035bf37de282a6c07309517a2bf719249954adb2b6918e5,15688681,55,1666111399,2022-10-18T16:43:19+00:00,371937255879694586160886,1731037173533807902320478,4.65411073015423499216422746758665631100115006500063904809336
0xea9423a1b5df18fe76a5416f4a22287a676bd7d129767cce772f185ae828f401,15688691,5,1666111449,2022-10-18T16:44:09+00:00,372085962509246316116138,1730350095306434371721579,4.65040412607190271281498751623105571640038828305035366288754
0xe2cb2baf49411fb5b7bd806e6d0bd7f59cfa2db23f21d3837271268439da4e20,15688696,42,1666111474,2022-10-18T16:44:34+00:00,372086091458070857196117,1730349764103871828496989,4.65040162432101868096446828575656488363458015843887686923762
0xf75044245b896d39d595871a7f8bfe4941d829060ecfcd61be5b66018f11b4c9,15688700,32,1666111494,2022-10-18T16:44:54+00:00,372086104281927396326077,1730350771295866877368385,4.65040417092488500348726653475000587341974459564979649435199
0xa1465fe87710c5cb21a6305fb33149088a391d4384cab779a87dc288d6f1a163,15688705,69,1666111519,2022-10-18T16:45:19+00:00,372086569466134496203302,1730348881155980485712879,4.65039327713081672219747111351084668894047722480001615232553
0x1ea0760517a91e17333a5984393dc548c568d131e9c2e3d427bd7e9b6fb4e098,15688707,43,1666111529,2022-10-18T16:45:29+00:00,372086731001890249784205,1730348665528698629383833,4.65039067872567653966382060110740103759709426941283133115947
0x2354e459cd87931bbedc5594b7c53312d44bfd83a18fafae4124ed5344f22ff5,15688708,71,1666111534,2022-10-18T16:45:34+00:00,372086784027465268613536,1730348686340533342183269,4.65039007193765078659654952614327857015179888141440004013472
0x3c7de626211625f5ed9bab777f2742381bd728947c97e85d73dfa348d8cbf6bb,15688710,103,1666111544,2022-10-18T16:45:44+00:00,372086791230154600636547,1730349186268970524340765,4.65039132549766209254439277604918253161707969819574884059880
0xaaab5075dbbb80703d516ebf64fc9a53dd01bf59a5ce1aa59c144fe5396a3a05,15688716,18,1666111574,2022-10-18T16:46:14+00:00,372251105196480081522419,1729588222989934990198678,4.64629439334244740258755068819954315939119206348979282383321
0x01a1a6f1eaae1381f06df1622ae4375eb8ed2cc1440d7161931e02d403c8f121,15688716,27,1666111574,2022-10-18T16:46:14+00:00,372251252393319953021551,1729587541122111550654948,4.64629072434827620466892569685210907998992086939879863826887
0x4112090dc93d331115d89fedf3379546baa2189bf433dfeaa70b93db7e28aadc,15688717,128,1666111579,2022-10-18T16:46:19+00:00,372256676900541787335103,1729562679805109350849403,4.64615623339701102415669966270043987740723849380667390855161
0x3c374a03d64389b30f7dc5bad9ff6ab77173a7d263cd61b3c26f15f8310546c2,15688717,162,1666111579,2022-10-18T16:46:19+00:00,372256693576912248962411,1729562602556533298037323,4.64615581774404549441590821441961925109349961909152965450809
0xda2c2a1c7097c7a7ea0282696437b3bb7414e7b829de59017fbd26e3be69c685,15688738,34,1666111684,2022-10-18T16:48:04+00:00,382218626889058356392778,1684616500381176640673938,4.40746834891997145772262076280425625146903868911266432164296
0x28ee97d63dec7bb0112724e94e1dd20224b9a3ad876e0264f7203bfbab890211,15688741,20,1666111699,2022-10-18T16:48:19+00:00,382240385477020304110293,1684521672058714995573846,4.40696937336043423273735005167384433584856952468686414188022
0xbf97873a91a30311c14d8c7e224e231d4b8a98562c64de00c37c3f6fbd4f56ec,15688764,70,1666111814,2022-10-18T16:50:14+00:00,382132032293585406540908,1684045200992320298138067,4.40697208994638168803583457420893922305352366143516018794131
0xf6fd9c59a7ef3443e8b8d381389210913b94c8663ba5379a21bf77b8d5565b49,15688778,39,1666111884,2022-10-18T16:51:24+00:00,382240385477020304110293,1683570037183154685083911,4.40447974926073919594845041948861553293975112499245738175267
0x27747177c36fa5edc50e866dc1908b0e6d55a24ef2845f15cee60cd45e50afe6,15688782,102,1666111904,2022-10-18T16:51:44+00:00,382240244699894927749529,1683571696898493984367011,4.40448571348185089102182103688448721659452742541192815904790
0x6ca2e2f8f13ce47602ba59e560193394cf859084a5c1fce7518a13b62376524b,15688782,158,1666111904,2022-10-18T16:51:44+00:00,382240113884747093592810,1683572274805863019550512,4.40448873273801175989678822425704412442849267082898360201614
0x3a248c4ae28e932c2667c72f0a8b98b8b0dae1faccd9fbdcab3bbdaed098fd75,15688783,76,1666111909,2022-10-18T16:51:49+00:00,382241388897069316669033,1683566935344433972947356,4.40446007221313246610302052618802634173211245909152515320928
