block,front_tx,back_tx,intervening_swaps,reason,inventory_mismatch_bps
17074969,0x6c9700e15955b1c8d8d54c551c4e7eb7ef920d75f6eccbc70109ea36d62a3741,0x234fee1c02a818e3ba3c21fbf5833390d2384d39aa79cfcc1f2794dc51053736,2,inventory_mismatch,6832.139430054268585870799906889720506037279843773586664412272431977840
17074970,0x61817ca2b65b4964e07d1ff3d376d85f59c0d4e21c9a798966ca63785a8a35b3,0x6130f0fe2b309067b1324c87841cc2c6401a9b6179c6015680f3d8a496076798,1,buy_not_maximum_output,0
17074971,0xfd4b0742769fc4a8829e38cf96de46001ec30a47139cd0fab984bba5d130fda9,0x963d4eb6784306c41c71b3f5ac760384d261b873e10ef1dd9e291b7cb38a7a1a,1,outer_transaction_has_other_v2_v3_swaps,0
17074971,0xf164d540d3d0748f2a30ce6445829566dfebff27f4aafa670b8a308ea82c02e9,0x04444d05dabc7acf9b79b102a4a775c1e3fd82a8933992a8a04e7b1c141174fe,2,different_outer_origin_or_target,8090.330382583455884840905411158446997486153559856335361125258734782939
17074971,0xdd0dc11317ead1803761032e2a06a325881fcb705939d423d793c7b26a307a0e,0x04444d05dabc7acf9b79b102a4a775c1e3fd82a8933992a8a04e7b1c141174fe,1,different_outer_origin_or_target,8883.394273795445773087087389372207892150944266517021278265300922915363
17074973,0xa0eddb48621352774c814b9390ae0e094f08e2b6b02655c620991aa2f62b9831,0x60f1d2776f76574f4022f0b5b2b2ae46e9a94809e506c0b889c859fed03229f8,1,different_outer_origin_or_target,2067.674809616886467912681034414711611844406401620377103776686215301185
17074974,0x5e158c37288f78542e212cd29b3ff6cbf643bca27115264097d91ddb0b28051c,0x793b97a70ab332c7678913df48c13ae2977fbee04fa88b8cd5ec745c3907a625,1,different_outer_origin_or_target,7084.722226955993074034865627448522566791488402781220681779527541151670
17074974,0x3e9007fe2cba6bddfdf8f5f2d1a023f3c0a46959c540bf675bbf1bee11e91f49,0x5f6b880800100360d5e42ac0c46177b79cf488ca5dd9fb4ab168f232b837e3d3,3,different_outer_origin_or_target,1742279.193007534287740778707351965526246684718581015770965579148885001
17074974,0xf69ed8c79e3bcf80d1071882616d134ade2f5ac21e0be985e042ac2b120e9735,0x5f6b880800100360d5e42ac0c46177b79cf488ca5dd9fb4ab168f232b837e3d3,2,different_outer_origin_or_target,36155.89262975344190628086699299000970614308790725344241218093988435939
17074978,0x8f8537e32be07cd69e19a528d9e35cedf2b4d2d1c28a2f0006c5124e41351edd,0x4bc702dbc632157f5ca0da1d96091b1e8a3d66d9866ca550b94b10c15742eac4,1,outer_transaction_has_other_v2_v3_swaps,0
17074978,0xaa834242a6fed93cc73affd8a860c2030b25e6e685191367773cbda9e4d2d3c9,0x7d810edf1d7ba350c088b15df14c11a9a6dabaf8c1bb33fd8fd6c143305e6fa1,2,different_outer_origin_or_target,2192.543164735206316356210621837493371928082016041807705796723977648632
17074978,0x01c4abe7794b3661d33a2059bbcfd7a120f8a69a02cb86ba5fe308b15a7219b8,0x7d810edf1d7ba350c088b15df14c11a9a6dabaf8c1bb33fd8fd6c143305e6fa1,1,different_outer_origin_or_target,4031.591779744506344243566065436694084974315459331376965286854467984244
17074983,0xd594e9fd3da8734e4d693d736d067653fe6f571f2bd793533a672bd5b1806838,0x61b832b0ffa5b7c18b5620b0c8dee9092e77a7ab99c101be887599dd609d493a,1,different_outer_origin_or_target,2033.998211834182594270500481090425815380268253229981991164012703927380
17074984,0x90f6a5664e18062d5c8cfcaa9bc01c41841401c6146cd879d3ea0e71f2312981,0x41083d033b89b4e1094a2cad940f26a325360cff0e57ecdb76e738d093b360ba,3,outer_transaction_has_other_v2_v3_swaps,0
17074987,0xbdbe955cf066afb4e84e8b0ee595b7b45097a66eb68a9830513c2e6b72b0b203,0xab5c85ae3fd4b6a3696b30c4547be1384fc4e6ae2f5033e349da2cfa2fce5491,4,buy_not_maximum_output,0
17074991,0x023051c27f5c1175efe3da7b354afdda328a7e08d6c09a55640d19cb891dd8e6,0xc83a295c48c407269f67b7f5370ec34fb38131494e0afecada2fa19e1ff5a6f6,1,buy_not_maximum_output,0.0009999999994736441522036914039537909778779949873541563519528362102188468
17074994,0x8dc2b41998f726292f0529a0dece951dd8329868faa698f840b1b93a3f6f16a9,0xf07a4e8207de4c72e7dd0ab7fd0c8208647a4b3765fc3a88133b57e0a0c4499f,1,different_outer_origin_or_target,199668.6218817152430020692831735632213735177616589825999144270961484454
17074995,0x70649ef1dd2f7584c27a0c49f34fed97df3a82d3581948d03fc5fb99ab4c4531,0x938ecc779bb25409f0537fbcdf02c5f261d11a81eb6f4903d618b02e60ef7e22,3,outer_transaction_has_other_v2_v3_swaps,0
17074996,0x3ded83fe381680dba763eb079be31592a06bc1e2be94b93d874d47dcd0422155,0x6e827cfee8733c9c53ce27320c60e8026c2cf48876280128bbd7026feb575536,1,outer_transaction_has_other_v2_v3_swaps,0
17074997,0x3b915516a3e16c09b543b11bc3740dd40c263001fca4cd47738c334aa788c40d,0xa41b75c5d4c0beec41998b0935d8fe559f88410202ef282e40afff1b7c2708f7,2,outer_transaction_has_other_v2_v3_swaps,5.510668135320109756729020933025417371060767180422997978879795188381731E-25
17075004,0xb39a72ca5f48957122720668cef319bf4d5d6f86e832e59210c3d6dfa823f8b6,0x6d95bee4bf3b882e02186f405431001fb7eccea3ac13e9c06620ae6d44901471,2,different_outer_origin_or_target,5123.146422143547372447086631069816414815518714804362580237318044603077
17075006,0x3b6bee9ab1ac4070c9c5fcbfcfa6acae99d7e8d8bf57f953dd869ed17b168ec3,0x31001e49f751fc001514c8b2692e443ce1db1d8f67915eb25144050d19106ea7,2,different_outer_origin_or_target,9480.377536629687831186672813255300989359507871008963961895842387505008
17075006,0xf36edf10fc831b5071cc744576445dd162b067d8d2e67f9acb99ec9e483499fd,0x31001e49f751fc001514c8b2692e443ce1db1d8f67915eb25144050d19106ea7,1,different_outer_origin_or_target,6041.067899825259204610620244183843698122852716407112135419330209559398
17075007,0x84c67ea65a561c5f627c0f16f68d6203001d564b07abec952201d29cec961d9c,0x3eb27ab97708df3c64dde842d684f8c20e72befdf8ebdad9ed0ffec02768ba4d,2,buy_not_maximum_output,0
17075012,0xc6a6f38ffd2719d22e41e4257b880e652db913573c5b20db95c945c1aa7f2c4f,0xc2e8f00c7627b72c65488ecb8802355f0468fba268faf27c62af665f89a283bd,1,outer_transaction_has_other_v2_v3_swaps,0.0009999999994736441522037764356104700841374250627631257523235138745694801
17075019,0x28db0e0f2c5aa1abc53e7d9550b039648949708be7980dbb8f3b8c3d0e26e825,0x8901a06b500279edfb372b474306a6fb3f626130dd902fbd03a337c77a721d41,1,different_outer_origin_or_target,2829.085425282879046912461810964038708438012274341462370661163787369464
17075025,0x29fba5cba516efe07975bc75b4dd3a68e158921a5c7341386a79725e03962685,0x09275d09c5a426c068c612b22e2f13af75bdac4f5209478972123a29bc67c75c,2,buy_not_maximum_output,0
17075027,0x453fbdc11928382a929f7bc595be44926401026c676cc832930e615ca16b55be,0x5ffaf40d4e7b4ad27c1def68cde83c2d94e7b57abde162cf614dbc3832d3799f,1,outer_transaction_has_other_v2_v3_swaps,3.015948668431822618549186079082962768467085034129229536759714960412384E-25
17075029,0x9e4706f823522074a69371b0a57e726fa497b0ffe266eee9c5e43bcb9900f12c,0x51c59455296617df9d195f891a4758dca838652c2ad367d1b5b7a746e43408c2,1,inventory_mismatch,215853.3718103704613750951620541191327884365564901800663190944766448498
17075030,0xc73f75cdaf41f6eb4d7312beb29d61e22b5e323e889b0ef9455fda19328a3127,0x511832ee68254edef33523a94193e8db6d9ed11bbf3c39f3f50825aef08fb7eb,2,buy_not_maximum_output,7.282802213990297035457444669538658452694941820850336637109003656668082E-26
17075032,0x0c5a6cbfd1ccc0da6b504fa1c01474a708d3ed30a4125532f55e771b3b336424,0x6c4969f02775792fea964b702f4ae13e9adf1eddac4fb147a8956f152847a222,4,outer_transaction_has_other_v2_v3_swaps,0
17075036,0xeccd0453716127b0302f9b5aa58c440d2b5aa59aa48e78830ed95449b08d805a,0xa413b469a5bbfe09339620a341bfae2b1f4c4bf05e58c5b5de391ac70a1af116,1,different_outer_origin_or_target,86881.74983801292848443959113195546671531357620303467501308925264000066
17075039,0x08fa5af19f36816ae6aede9f1112fdb6dacb20602a79c26966964bd767420038,0x3dafb0a0348bab7316032ba380ef6216ad454b24e91ae3ad2c11576da6f0a8b9,4,accepted,0
17075040,0xae0d90203a5790456705b8e3d683da984297620d526d18d0b02e83463be733e0,0xf5eacc5460e7e3934f0928374403eb1ec42beaa2a014d81dafb942172059e9ea,1,buy_not_maximum_output,1.224724614417448659812264684250352221262762035766006581164604871750708E-25
17075041,0xbf633b12f2fefbdb9fd8c4a591a332f93d75c5ee844de88cf5bdb44d6e72c60b,0x32fba684e7491f35ad404f031eecbd7f6247dfc0cbcae84d9ac065c393195d2b,2,different_outer_origin_or_target,5953.783259759225144602737577715749509294628134376057595677410696833156
17075046,0x4d4793cc5a1c98c9bcc83e3384fca1f0272ab7a89fb27233261573ef52f0d83d,0xabcfd3759267e81d725b7d38cf0c2485063f1af5fc4fc6e2ef2a70f7e70d859c,2,outer_transaction_has_other_v2_v3_swaps,0
17075049,0xd4ac084b1821f3e115824194ca1ded271ec23f97ccd0b8659daa498c80929ca6,0x5984a5961551b22c30cd0a3b9e0a6a6a7041f736991de29c4dd3da8759a4bf06,1,outer_transaction_has_other_v2_v3_swaps,0.0009999999994736441522037075355387865598253390780595272488655736128337406
17075054,0xebc2ff7633df2cd5f6dc38d0d0936ff34f7e85ce77044a576855a42a6f2149b1,0xd376da362e1f60067a359bc61dfd2f7f7333a5d96d7a862522436b1edea3b335,1,outer_transaction_has_other_v2_v3_swaps,0
17075056,0xf4c49e4f7ae2980120fde5b5f925e437a0d201744f24ed3e3d157d6d45e4c3a5,0x4f89ea347226bdaf932d0ac51b83b785cdd7904c32c02fc91713169c6dac6a4e,1,outer_transaction_has_other_v2_v3_swaps,0
17075058,0xbeaf6c39a1f14679128a9bae4cd496306521988e8564af0a4f411d7047a3036b,0xc375058188fdb41aafd26dbebd1ba39aeebd2983c424341250f549bef14ecdef,1,outer_transaction_has_other_v2_v3_swaps,0
17075060,0x40fee0d9eecec94ebee604e6e9c28da3d0ed026008eed181f22951bf06adeb40,0xf54d94a8dc2ba633f0e3839a11abaad5c7c8a445eb50a6471d84ed43e4cc452c,2,outer_transaction_has_other_v2_v3_swaps,0
17075064,0x6b2d7dac88701d726e5db60b0c37a6cb2f375b24e783da24f3d8af10ccbe80b5,0xc6854bf5973b74e71de2c11d32e5737c6307a1e4d907bd8730c81bac2b0d3fe6,2,buy_not_maximum_output,0
17075065,0xc5a4d9516906f3895d8cd3d315c714803036b06616869ef80c5b7c1da83c184f,0x9b85fe734c562983f147f3055d5e453f925c1fb41531266d15adbd7ec71b945c,2,buy_not_maximum_output,0
