episode_id,block,timestamp_utc,tx_index,tx_hash,origin,input_weth,actual_pepe,counterfactual_pepe,shortfall_pepe,shortfall_bps,counterfactual_reserve0_raw,counterfactual_reserve1_raw,input_raw,actual_output_raw,counterfactual_output_raw
17074801-19,17074801,2023-04-18T16:41:11+00:00,20,0x889ad8cadc7310c7d335657a79ae469bc911703564adb41011fbb5150ebb063c,0x8c2cd35ec599199c1e8265c9a3d2fa213c6e2e05,0.25,3830350994.038339204515542351,3990060331.697716626991975612,159709337.659377422476433261,400.2679768789943647705257166976789874913974245452298280862493943590007,5752936705139150599867143686740,359123630245602695670,250000000000000000,3830350994038339204515542351,3990060331697716626991975612
17074801-19,17074801,2023-04-18T16:41:11+00:00,21,0x7e3dd8ad7fe88d7bbe2ee9f33e2132b0c36f895da4733824780cadf10f19b440,0xd2641026a1a430c05727e5c0ada76da488f40b1a,0.436016303867823981,6667926302.234721758021288115,6945682732.688488379337574864,277756430.453766621316286749,399.8979526469884141325515673645390064644990559627703176787162224194874,5748946644807452883240151711128,359373630245602695670,436016303867823981,6667926302234721758021288115,6945682732688488379337574864
17074801-19,17074801,2023-04-18T16:41:11+00:00,22,0x210dbbae306b1acfb6d0882b3b897b9aee95bc0a6099e59867ab3eb1a93b76b8,0xf5d588e349eff5f1faa3bc051c49a39320dbf8e9,1,15233323105.059450240334790134,15866600612.64589571321481815,633277507.586445472880028016,399.1261411607693188711975927246821253779055588153045155335240205898702,5742000962074764394860814136264,359809646549470519651,1000000000000000000,15233323105059450240334790134,15866600612645895713214818150
17074900-0,17074900,2023-04-18T17:01:23+00:00,1,0xeeaebe74776122f34660fc9edbd6a7c317ec676e6ad8a459c3a10ad0c3afb3ef,0xc78b81818481c277b5cbf1ee90cf0ef7861a3418,1.2,14305119570.484106466750403889,15611431681.213369667079049035,1306312110.729263200328645146,836.7663756945913281277584088924142251851365020882548003304250268146175,5215300574931762949368015369427,398484150462070172937,1200000000000000000,14305119570484106466750403889,15611431681213369667079049035
17074900-0,17074900,2023-04-18T17:01:23+00:00,2,0xe8056a06190d0cc873f7c23d1acd97e1328dba5296f0747b70684a3fec149450,0xc11f42d7b2ff88bc32da5d06bc4b7467ac2b80aa,2.4,28365456652.368399785354178446,30943868251.268013448931219965,2578411598.899613663577041519,833.2544522108853919381975134673635995959723709059048978854424007410977,5199689143250549579700936320392,399684150462070172937,2400000000000000000,28365456652368399785354178446,30943868251268013448931219965
17074938-5,17074938,2023-04-18T17:08:59+00:00,6,0xb47cbcd3251035d4d94927540ee6f724a7b386b096366a6952a417a3d88c01db,0xf93e6c16ea54851e3d900caf36fa0b5c40a6b0f3,0.4985,5738213683.956392622297684324,6060485053.242294127344062242,322271369.285901505046377918,531.7583765238226252360075415710338531711256429323657670207989568428375,5030367415012479402008675033244,412030247023710158145,498500000000000000,5738213683956392622297684324,6060485053242294127344062242
17074938-5,17074938,2023-04-18T17:08:59+00:00,7,0x5ccb5e8e9ec0557a5a7d3acddd08b31d4854100ffafcfee198f3d2e519f837a8,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,1.8,20608134003.677644298378281992,21762281274.457989409876208309,1154147270.780345111497926317,530.3429618543473502045312353590647518056943074531521307499894257063019,5024306929959237107881330971002,412528747023710158145,1800000000000000000,20608134003677644298378281992,21762281274457989409876208309
17074939-3,17074939,2023-04-18T17:09:11+00:00,4,0x51c6f816d3168bda9d422bff9cbcce3652d4258242c6f43537c7a21ca9e13b3c,0x9cd6140c2de8af7595629bcca099497f0c28b2a9,8.448519785189715239,96983939646.734605545835013959,102392018262.966958453208856529,5408078616.23235290737384257,528.1738467487891395956088134092970988061579684257922054825932924784874,5073670956763943187017609320926,408957156373960091905,8448519785189715239,96983939646734605545835013959,102392018262966958453208856529
17074940-5,17074940,2023-04-18T17:09:23+00:00,6,0xfbe4f40c9c1014b5dd1ff88d94c1ffa1bc72fb4aa5d593d330c87eaef72b5434,0x598b32c026965e17debd4cce47171c22b2e2d3ef,1.5,17742326142.442836997956559695,18226746232.253350193344205347,484420089.810513195387645652,265.7743097082802453496045913262576362230663176780720462206576039820347,5041028612293247486703817128022,412119645216872416450,1500000000000000000,17742326142442836997956559695,18226746232253350193344205347
17074940-5,17074940,2023-04-18T17:09:23+00:00,7,0xdc7e1aa31bf5381f18dad9467dd7903846cb3ebd309f68e95cb796eaeef6d4c2,0xc2526e7b1e04e8e46cc38c4f5317a85af30f2d3e,3.929076053761355575,45878983774.740210025771191014,47123413568.780171134570521126,1244429794.039961108799330112,264.0788728566155552354201422816368303275899673476209678759283892854973,5022801866060994136510472922675,413619645216872416450,3929076053761355575,45878983774740210025771191014,47123413568780171134570521126
17074959-5,17074959,2023-04-18T17:13:11+00:00,6,0xaeb6f2802154ce54dd6d7b3b5338d9e4f19c2bc62c96ae504ff69eea101a64a1,0x2af8ae409ac94ed6fbd7d6c8751f3fbdf055ab3e,2.742844023850252255,32604488634.493245383925109115,34055470689.336506088658330505,1450982054.84326070473322139,426.0643078698055170367058702431184070402408037858989021844094555772197,5110852407949019556904706618368,407661009295404759515,2742844023850252255,32604488634493245383925109115,34055470689336506088658330505
17075039-21,17075039,2023-04-18T17:29:59+00:00,22,0x864fa3e713457da2951b104cf301210576d6ee34049dfc52cc2b74452078d2b1,0x7f62d4be62ee322ede06c37adcf8e97259e3268a,0.95,11859958593.671021573604079409,11981126704.683159578917284095,121168111.012138005313204686,101.1324844472064960178919152368811216904786548023043714265701741969926,5143208537595144089096684217041,405641486148812386562,950000000000000000,11859958593671021573604079409,11981126704683159578917284095
17075039-21,17075039,2023-04-18T17:29:59+00:00,23,0xdd41df5efa635ecd0de841be9bf929d1570b87f66bf025ac1a97423a93cb1d16,0x2a878245b52a2d46cb4327541cbc96e403a84791,2,24789336279.41575356610985807,25041681127.138879234208276548,252344847.723125668098418478,100.7699309171569034709875250634770770542414151990117500117346606401856,5131227410890460929517766932946,406591486148812386562,2000000000000000000,24789336279415753566109858070,25041681127138879234208276548
17075039-21,17075039,2023-04-18T17:29:59+00:00,24,0x5f15331ef9776b6b1f7b516fe503bbaf2a0b5095580bd3afd1509c4f4f6d603e,0x89a1145fccac1a2a9350ec1a4a486e4458d26274,0.2,2465663601.275624214053304887,2490695044.860075826159113686,25031443.584451612105808799,100.4998329125348531576339747033124601632304649718260173583470263022165,5106185729763322050283558656398,408591486148812386562,200000000000000000,2465663601275624214053304887,2490695044860075826159113686
17075039-21,17075039,2023-04-18T17:29:59+00:00,25,0x4db95d1db5dba101ac6914a4574252ec344ff7b6dec9994849b65c1b5c904036,0x6fe93ad6bfd5a5e5f78e0cb3185b621350278efe,0.085408051406356046,1052206999.241196720752878656,1062885275.361162540244027038,10678276.119965819491148382,100.4649924831953317075127531012279151534541952872157634873626248950076,5103695034718461974457399542712,408791486148812386562,85408051406356046,1052206999241196720752878656,1062885275361162540244027038
17075066-1,17075066,2023-04-18T17:35:23+00:00,2,0x39889c52f1b0f45bc96a80dc986a4892d3b8dbc45017fb244645b3aec2d65b11,0xb9f1eca1d567fb0f94990bb831f473530ede36d4,1,12209688530.938719362596443348,13261695340.072598960830842569,1052006809.133879598234399221,793.2672121904744048416500780376150133911285975984119881183488344389190,5284340805824028033547658792472,396274061376811456990,1000000000000000000,12209688530938719362596443348,13261695340072598960830842569
17075066-1,17075066,2023-04-18T17:35:23+00:00,3,0x4080c3f3f5147fea0f19a009fd3eb9eaee743805b9b531202740706cc4049e43,0x3986179dfb74aaa3ebaac9b1ce21a18da618f52c,3.9,47060822808.436933671606380994,51090378556.335508091998011543,4029555747.898574420391630549,788.7112724082342418917913741219220114999655473750539194539077793025256,5271079110483955434586827949903,397274061376811456990,3900000000000000000,47060822808436933671606380994,51090378556335508091998011543
17075066-1,17075066,2023-04-18T17:35:23+00:00,4,0xd4004b1d0e7c20536865eadfa4affb661abbd33b6c2e1ead992f781947e79a6c,0xae35c0a572670ecbf2dc003b83e1b3a87ceb4500,0.41,4896463961.02866215682771056,5313411399.173832973061851713,416947438.145170816234141153,784.7076140386960661181795581966447462117698631874997956815776062364442,5219988731927619926494829938360,401174061376811456990,410000000000000000,4896463961028662156827710560,5313411399173832973061851713
17075396-3,17075396,2023-04-18T18:42:11+00:00,4,0xb346c6e9c6a44864bc928d8002f169574bea09ee3330260b6d114868d20a22ab,0x7c9a3dd95297352082a34584e488573c15fb3817,0.25,3049285335.355714033559245922,3200684233.309644125940547551,151398897.953930092381301629,473.0204135050747229775856032870902558943559012598903205889586129732013,5200588668612443636092377740962,404741255518027040314,250000000000000000,3049285335355714033559245922,3200684233309644125940547551
